instant_book,satisfaction_guest,rating_checkin,bed_type,person_capacity,accuracy_rating,rating_communication,room_type,hosting_id,url,amenities,rev_count,cancel_policy,rating_cleanliness,nightly_price,host_id,response_rate,price,response_time
True,85,9,Real Bed,5,9,9,Entire home/apt,476684,https://www.airbnb.co.uk/rooms/476684,"[3, 4, 8, 28, 30, 31, 40, 41, 44, 45, 47, 50]",13,12,9,&pound;69,2362005,,81.59801553626217,0.0
False,92,10,Pull-out Sofa,2,10,10,Entire home/apt,12859824,https://www.airbnb.co.uk/rooms/12859824,"[5, 8, 11, 30, 40, 49, 50]",5,11,9,&pound;48,70292033,,56.574624105141766,1656.0
False,,,Real Bed,2,,,Private room,15546989,https://www.airbnb.co.uk/rooms/15546989,"[1, 4, 9, 11, 12, 17, 18, 25, 30, 31, 40, 41]",0,10,,&pound;37,51899561,,43.51894161933982,6032.0
True,90,10,Real Bed,5,9,9,Entire home/apt,4923161,https://www.airbnb.co.uk/rooms/4923161,"[1, 3, 4, 7, 8, 9, 11, 12, 17, 19, 30, 31, 32, 33, 37, 39, 40]",38,10,9,&pound;78,590338,,92.47775094109711,628.0
False,94,10,Real Bed,4,9,9,Entire home/apt,3917617,https://www.airbnb.co.uk/rooms/3917617,"[1, 3, 4, 5, 8, 9, 12, 30, 31, 32, 33, 37, 40, 41, 45, 46, 47]",70,12,10,&pound;46,19743484,,54.39867702417477,6367.5
False,94,10,Real Bed,3,9,10,Entire home/apt,6650226,https://www.airbnb.co.uk/rooms/6650226,"[1, 3, 5, 8, 28, 30, 31, 33]",15,10,10,&pound;72,7130543,,84.86193615771265,3171.0
False,93,10,Real Bed,2,10,10,Private room,13707525,https://www.airbnb.co.uk/rooms/13707525,"[1, 3, 4, 8, 9, 27, 30, 31, 33, 40, 45, 46, 47]",3,10,10,&pound;41,33483627,,48.9588093217573,1305.5
True,96,10,Real Bed,6,10,10,Entire home/apt,11230777,https://www.airbnb.co.uk/rooms/11230777,"[1, 3, 4, 5, 6, 8, 9, 11, 30, 31, 32, 33, 38, 40, 41, 44, 45, 46, 47]",16,10,10,&pound;64,58541178,,76.15814783384468,5332.0
False,,,Real Bed,1,,,Private room,14805515,https://www.airbnb.co.uk/rooms/14805515,"[1, 4, 8, 9, 12, 16, 30, 32, 39, 40, 42, 44, 45, 49, 50]",0,10,,&pound;32,468515,,38.07907391692234,1613.5
True,,,Real Bed,4,,,Private room,15544502,https://www.airbnb.co.uk/rooms/15544502,"[4, 16, 17, 18, 19, 28, 30, 31, 40, 45, 46, 50]",0,10,,&pound;128,100022177,,151.22832212720587,20247.0
True,,,Real Bed,4,,,Entire home/apt,13836242,https://www.airbnb.co.uk/rooms/13836242,"[1, 4, 5, 8, 30, 31, 40, 41, 42, 44, 45, 46]",0,10,,&pound;60,80937453,,70.7182801314272,
False,97,10,Real Bed,6,10,10,Entire home/apt,1312894,https://www.airbnb.co.uk/rooms/1312894,"[1, 3, 4, 5, 8, 21, 28, 30, 31, 33, 37, 40, 41, 44, 45, 47]",34,12,10,&pound;101,6219264,,119.67708945318451,843.0
False,95,10,Real Bed,1,10,10,Private room,3172839,https://www.airbnb.co.uk/rooms/3172839,"[1, 8, 16, 30, 33, 40, 41]",54,10,10,&pound;26,12535937,,30.463259133537875,21617.5
False,100,10,Real Bed,2,10,10,Entire home/apt,14721399,https://www.airbnb.co.uk/rooms/14721399,"[1, 4, 5, 8, 30, 31, 34, 40, 41, 44, 45, 46]",2,12,10,&pound;73,27465672,,87.03788323867964,999.5
True,100,10,Real Bed,4,10,10,Entire home/apt,12379685,https://www.airbnb.co.uk/rooms/12379685,"[1, 4, 8, 9, 12, 25, 30, 31, 33, 39, 40, 41, 43, 44, 45, 46, 47]",8,11,10,&pound;32,57215318,,38.07907391692234,287.5
False,,,Real Bed,2,,,Shared room,15632620,https://www.airbnb.co.uk/rooms/15632620,"[1, 4, 8, 9, 16, 21, 30, 31, 33, 40, 41, 44, 45, 46, 47]",0,10,,&pound;47,83107831,,55.48665056465827,330.0
True,100,10,Real Bed,1,10,10,Private room,6091464,https://www.airbnb.co.uk/rooms/6091464,"[3, 4, 9, 16, 30, 31, 40, 41]",1,11,10,&pound;92,31549793,,108.79735404834955,469.0
False,98,10,Real Bed,5,10,10,Entire home/apt,6195614,https://www.airbnb.co.uk/rooms/6195614,"[1, 2, 3, 4, 5, 8, 28, 30, 31, 33, 34, 40, 41, 44, 45, 46, 47]",12,11,10,&pound;110,32129129,,130.55682485801947,
False,,,Real Bed,2,,,Private room,12801782,https://www.airbnb.co.uk/rooms/12801782,"[1, 3, 4, 7, 8, 9, 27, 30, 31, 33, 34, 40, 41, 43, 44, 45, 46, 47, 50]",0,10,,&pound;206,69753582,,244.0929505955868,
True,,,Real Bed,2,,,Private room,15661999,https://www.airbnb.co.uk/rooms/15661999,"[3, 5, 9, 11, 12, 16, 27, 30, 31, 32, 33, 39, 40, 41]",0,10,,&pound;138,18281692,,163.19603107252433,
True,,,Real Bed,2,,,Private room,15660543,https://www.airbnb.co.uk/rooms/15660543,"[4, 5, 7, 11, 12, 16, 30, 31, 32, 33, 39, 40, 41, 42, 44, 45, 47]",0,10,,&pound;138,101099552,,163.19603107252433,
True,92,9,Real Bed,4,10,9,Entire home/apt,3318872,https://www.airbnb.co.uk/rooms/3318872,"[1, 3, 5, 6, 8, 12, 30, 31, 33, 34, 35, 36, 37, 40, 41, 43, 44, 45, 46, 47]",33,11,10,&pound;73,2711347,,87.03788323867964,1156.0
False,95,10,Real Bed,6,10,9,Entire home/apt,2543325,https://www.airbnb.co.uk/rooms/2543325,"[2, 4, 5, 8, 11, 12, 27, 28, 30, 33, 40, 45]",71,12,10,&pound;124,13022580,,146.8764279652719,1405.0
False,93,10,Real Bed,4,9,10,Entire home/apt,2658540,https://www.airbnb.co.uk/rooms/2658540,"[1, 4, 8, 11, 30, 31, 40]",86,11,9,&pound;46,13605969,,54.39867702417477,4842.5
True,95,9,Real Bed,3,10,10,Entire home/apt,2643543,https://www.airbnb.co.uk/rooms/2643543,"[1, 2, 3, 4, 5, 8, 30, 31, 33, 40]",26,12,10,&pound;78,13523621,,92.47775094109711,251.5
True,92,10,Real Bed,4,10,10,Entire home/apt,13428514,https://www.airbnb.co.uk/rooms/13428514,"[4, 8, 30, 31, 40, 44, 45, 46, 47]",5,10,10,&pound;47,1967196,,55.48665056465827,473.0
True,90,10,Real Bed,3,9,9,Entire home/apt,3100754,https://www.airbnb.co.uk/rooms/3100754,"[1, 3, 4, 8, 9, 11, 30, 33, 40, 44]",27,11,10,&pound;34,15194076,,40.25502099788933,86.5
True,87,10,Real Bed,4,10,10,Entire home/apt,14408691,https://www.airbnb.co.uk/rooms/14408691,"[1, 4, 8, 12, 30, 31, 40, 44, 45, 46, 47]",3,11,10,&pound;73,5261385,,87.03788323867964,2.0
False,98,10,Real Bed,2,10,10,Private room,4963135,https://www.airbnb.co.uk/rooms/4963135,"[1, 4, 8, 30, 31, 37, 40, 45, 50]",9,12,10,&pound;32,25584227,,38.07907391692234,44157.0
False,93,10,Real Bed,2,9,10,Private room,13441736,https://www.airbnb.co.uk/rooms/13441736,"[4, 5, 11, 17, 30, 31, 37, 40, 41]",13,12,9,&pound;16,23852839,,18.495550188219422,3.0
True,94,10,Real Bed,2,9,10,Entire home/apt,2402018,https://www.airbnb.co.uk/rooms/2402018,"[1, 3, 4, 8, 12, 30, 31, 33, 40, 43, 45, 46, 47]",13,12,9,&pound;69,12276283,,81.59801553626217,3633.0
True,99,10,Real Bed,2,10,10,Entire home/apt,2244574,https://www.airbnb.co.uk/rooms/2244574,"[1, 2, 3, 4, 5, 8, 30, 31, 33, 40, 44, 45, 46, 47]",15,12,10,&pound;64,5510677,,76.15814783384468,153.5
True,80,9,Real Bed,4,9,10,Entire home/apt,5924525,https://www.airbnb.co.uk/rooms/5924525,"[1, 3, 8, 30, 33, 34, 44]",3,12,10,&pound;64,16225340,,76.15814783384468,
True,93,10,Real Bed,5,10,10,Entire home/apt,10847040,https://www.airbnb.co.uk/rooms/10847040,"[1, 2, 3, 4, 5, 6, 8, 30, 31, 33, 37, 40, 41, 44, 45, 46, 47]",3,10,10,&pound;83,20350290,,97.9176186435146,1.0
True,95,10,Real Bed,4,10,10,Entire home/apt,1002031,https://www.airbnb.co.uk/rooms/1002031,"[1, 2, 3, 4, 8, 30, 31, 33, 40, 44, 45, 46, 47]",13,12,9,&pound;69,5510677,,81.59801553626217,153.5
False,87,10,Real Bed,3,9,9,Private room,786502,https://www.airbnb.co.uk/rooms/786502,"[1, 2, 3, 4, 5, 9, 30, 31, 41]",43,11,9,&pound;46,4146497,,54.39867702417477,2412.5
True,91,9,Real Bed,3,9,10,Entire home/apt,1362627,https://www.airbnb.co.uk/rooms/1362627,"[1, 3, 4, 8, 30, 31, 37, 40, 41, 43, 44, 45, 46, 47]",106,12,9,&pound;58,7396673,,68.54233305046021,1.0
False,87,9,Real Bed,5,10,9,Entire home/apt,8265991,https://www.airbnb.co.uk/rooms/8265991,"[1, 3, 4, 5, 8, 30, 31, 33, 34, 40, 43, 44, 45, 46]",3,12,9,&pound;64,15043724,,76.15814783384468,1242.5
True,,,Real Bed,4,,,Entire home/apt,15675571,https://www.airbnb.co.uk/rooms/15675571,"[1, 8, 9, 30, 40, 45]",0,10,,&pound;276,95723982,,326.39206214504867,53226.0
False,100,10,Real Bed,2,10,10,Private room,14146206,https://www.airbnb.co.uk/rooms/14146206,"[1, 4, 5, 8, 12, 30, 31, 33, 34, 40, 44]",5,11,10,&pound;46,9619099,,54.39867702417477,12707.0
True,86,9,Real Bed,2,8,9,Private room,13203824,https://www.airbnb.co.uk/rooms/13203824,"[1, 11, 17, 30, 31, 33, 37, 40, 41]",23,12,9,&pound;28,23852839,,32.63920621450487,3.0
True,96,10,Real Bed,5,10,10,Entire home/apt,304956,https://www.airbnb.co.uk/rooms/304956,"[1, 3, 4, 5, 7, 8, 9, 12, 17, 18, 19, 30, 31, 33, 35, 37, 40, 41, 44, 45, 46, 47]",55,11,9,&pound;26,900855,,30.463259133537875,0.5
False,100,10,Real Bed,4,10,10,Entire home/apt,5963851,https://www.airbnb.co.uk/rooms/5963851,"[1, 2, 3, 4, 5, 8, 21, 30, 33, 35, 40, 41, 49, 50]",9,12,10,&pound;182,30958911,,215.41876101573212,2129.0
False,95,10,Real Bed,4,10,10,Entire home/apt,3016536,https://www.airbnb.co.uk/rooms/3016536,"[1, 3, 4, 8, 9, 11, 12, 27, 28, 30, 31, 32, 33, 40, 41]",12,11,10,&pound;87,12919997,,103.35748634593207,4075.5
